"state","Type","Ownership","Overall_rating","Mortality","Safety_of_care","Readmission","Patient_experience","Effectiveness_of_Care","Timeliness_of_Care","Medical_imaging"
"HI","Critical Access Hospitals","Government - State","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"CA","Acute Care Hospitals","Proprietary","4","Not Available","Above the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ME","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Same as the national average"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available","Not Available"
"WV","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","5","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","3","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"MN","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IN","Critical Access Hospitals","Voluntary non-profit - Private","5","Not Available","Not Available","Above the national average","Above the national average","Not Available","Not Available","Same as the national average"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"LA","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NC","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"LA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"CA","Acute Care Hospitals","Government - State","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"LA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MS","Critical Access Hospitals","Government - Local","2","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Same as the national average"
"NY","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"OH","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Above the national average","Not Available"
"SD","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Government - Local","3","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Same as the national average","Not Available"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MD","Acute Care Hospitals","Voluntary non-profit - Private","2","Above the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average"
"AL","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"PA","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"LA","Critical Access Hospitals","Government - Hospital District or Authority","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"LA","Critical Access Hospitals","Voluntary non-profit - Other","5","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","2","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"CA","Acute Care Hospitals","Proprietary","4","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"MS","Critical Access Hospitals","Government - Local","4","Not Available","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"KS","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"VA","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","1","Same as the national average","Below the national average","Below the national average","Below the national average","Below the national average","Below the national average","Not Available"
"OK","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MA","Acute Care Hospitals","Voluntary non-profit - Private","5","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"IN","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Above the national average","Below the national average","Not Available","Not Available","Same as the national average"
"IN","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"AL","Acute Care Hospitals","Government - Local","3","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"KS","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"ID","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"CO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IN","Critical Access Hospitals","Voluntary non-profit - Other","5","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"VA","Acute Care Hospitals","Proprietary","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"CA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WY","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Above the national average","Not Available"
"KY","Critical Access Hospitals","Government - Hospital District or Authority","2","Same as the national average","Not Available","Below the national average","Above the national average","Below the national average","Same as the national average","Not Available"
"AL","Acute Care Hospitals","Voluntary non-profit - Church","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"LA","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"NE","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available"
"KS","Critical Access Hospitals","Government - Local","2","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Above the national average","Not Available"
"AK","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"UT","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Same as the national average","Not Available"
"SC","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KS","Critical Access Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average"
"AL","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"TN","Acute Care Hospitals","Proprietary","2","Below the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"NM","Acute Care Hospitals","Government - Federal","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"PA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"KS","Acute Care Hospitals","Proprietary","5","Same as the national average","Above the national average","Above the national average","Above the national average","Not Available","Not Available","Not Available"
"OK","Acute Care Hospitals","Physician","5","Not Available","Above the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Not Available"
"NE","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Same as the national average","Same as the national average"
"LA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"DC","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"CA","Acute Care Hospitals","Proprietary","Not Available","Not Available","Above the national average","Not Available","Above the national average","Not Available","Not Available","Not Available"
"LA","Critical Access Hospitals","Government - Hospital District or Authority","2","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Same as the national average"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Below the national average"
"TN","Acute Care Hospitals","Proprietary","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"MS","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"FL","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PR","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IL","Childrens","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MN","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"IA","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"NV","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IA","Critical Access Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Same as the national average"
"IL","Acute Care Hospitals","Voluntary non-profit - Church","5","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"PR","Acute Care Hospitals","Proprietary","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"MI","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Below the national average","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Below the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Church","3","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","3","Below the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"ID","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Not Available","Not Available"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Below the national average"
"NM","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"FL","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Below the national average","Same as the national average","Above the national average","Not Available"
"NM","Acute Care Hospitals","Government - Federal","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"KY","Critical Access Hospitals","Voluntary non-profit - Church","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"MO","Acute Care Hospitals","Voluntary non-profit - Private","2","Below the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"MN","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"WV","Acute Care Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"KS","Critical Access Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"PR","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available"
"MT","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"SC","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"AL","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","Critical Access Hospitals","Government - State","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ID","Critical Access Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Not Available"
"IA","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"ID","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AL","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"OR","Critical Access Hospitals","Voluntary non-profit - Church","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Not Available","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available"
"OK","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NE","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Above the national average","Not Available"
"KS","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Same as the national average"
"MO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","4","Not Available","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"PA","Acute Care Hospitals","Voluntary non-profit - Private","1","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"GA","Acute Care Hospitals","Voluntary non-profit - Private","4","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"VA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"MN","Acute Care Hospitals","Voluntary non-profit - Private","4","Not Available","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IN","Acute Care Hospitals","Voluntary non-profit - Private","3","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average"
"FL","Acute Care Hospitals","Voluntary non-profit - Private","2","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Other","4","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"PR","Acute Care Hospitals","Voluntary non-profit - Other","2","Same as the national average","Same as the national average","Below the national average","Not Available","Not Available","Not Available","Not Available"
"MI","Acute Care Hospitals","Government - Local","3","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"OK","Critical Access Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"NY","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Same as the national average","Not Available"
"WV","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"UT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"AZ","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"MI","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Below the national average"
"OH","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Same as the national average","Not Available"
"AR","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"KS","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"IA","Critical Access Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Government - Local","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Below the national average","Below the national average","Not Available"
"LA","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Below the national average","Above the national average","Not Available"
"OH","Acute Care Hospitals","Proprietary","5","Not Available","Above the national average","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"GA","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"UT","Acute Care Hospitals","Proprietary","4","Not Available","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","4","Not Available","Above the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available"
"IL","Critical Access Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Same as the national average"
"IN","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"TN","Acute Care Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"KS","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"TN","Critical Access Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NM","Critical Access Hospitals","Proprietary","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"PA","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"LA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Below the national average","Not Available","Below the national average"
"NM","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"IN","Acute Care Hospitals","Proprietary","4","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"NE","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"MO","Critical Access Hospitals","Government - Local","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"PA","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Below the national average","Not Available"
"SC","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NH","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Same as the national average","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available"
"AK","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OR","Acute Care Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"KS","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Below the national average","Above the national average","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"MD","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Above the national average","Same as the national average","Below the national average","Not Available","Below the national average","Not Available"
"AZ","Acute Care Hospitals","Tribal","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"CA","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"VT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Above the national average","Not Available","Not Available","Not Available","Not Available"
"MD","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
